MEASURE,Measure,INDEX,Index type,SECTOR,Sector,INDUSTRY,Industry,REGION,Region,TSEST,Adjustment type,FREQUENCY,Frequency,TIME,Time,Value,Flag Codes,Flags
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,2,Victoria,10,Original,Q,Quarterly,2009-Q4,Dec-09,102.3,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,2,Victoria,10,Original,Q,Quarterly,2010-Q1,Mar-10,102.9,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,2,Victoria,10,Original,Q,Quarterly,2010-Q2,Jun-10,103.4,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,2,Victoria,10,Original,Q,Quarterly,2010-Q3,Sep-10,105.2,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,2,Victoria,10,Original,Q,Quarterly,2010-Q4,Dec-10,106.1,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,2,Victoria,10,Original,Q,Quarterly,2011-Q1,Mar-11,107,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,2,Victoria,10,Original,Q,Quarterly,2011-Q2,Jun-11,107.8,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,2,Victoria,10,Original,Q,Quarterly,2011-Q3,Sep-11,109,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,2,Victoria,10,Original,Q,Quarterly,2011-Q4,Dec-11,110.1,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,2,Victoria,10,Original,Q,Quarterly,2012-Q1,Mar-12,110.8,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,2,Victoria,10,Original,Q,Quarterly,2012-Q2,Jun-12,111.8,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,2,Victoria,10,Original,Q,Quarterly,2012-Q3,Sep-12,112.9,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,2,Victoria,10,Original,Q,Quarterly,2012-Q4,Dec-12,114,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,2,Victoria,10,Original,Q,Quarterly,2013-Q1,Mar-13,114.5,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,2,Victoria,10,Original,Q,Quarterly,2013-Q2,Jun-13,115.3,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,2,Victoria,10,Original,Q,Quarterly,2013-Q3,Sep-13,116.3,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,2,Victoria,10,Original,Q,Quarterly,2013-Q4,Dec-13,116.8,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,2,Victoria,10,Original,Q,Quarterly,2014-Q1,Mar-14,117.5,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,2,Victoria,10,Original,Q,Quarterly,2014-Q2,Jun-14,118.2,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,2,Victoria,10,Original,Q,Quarterly,2014-Q3,Sep-14,119.3,,
1,Index number,THRPEB,Total hourly rates of pay excluding bonuses,1,Private,-,All industries,2,Victoria,10,Original,Q,Quarterly,2014-Q4,Dec-14,120,,
