MEASURE,Measure,REGION,Region,INDEX,Index,TSEST,Adjustment Type,FREQUENCY,Frequency,TIME,Time,Value,Flag Codes,Flags
1,Index Numbers,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2014-Q1,Mar-14,105.2,,
1,Index Numbers,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2014-Q2,Jun-14,105.8,,
1,Index Numbers,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2014-Q3,Sep-14,106.5,,
1,Index Numbers,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2014-Q4,Dec-14,106.7,,
1,Index Numbers,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2015-Q1,Mar-15,106.7,,
1,Index Numbers,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2015-Q2,Jun-15,107.4,,
1,Index Numbers,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2015-Q3,Sep-15,108.1,,
1,Index Numbers,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2015-Q4,Dec-15,108.5,,
1,Index Numbers,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2016-Q1,Mar-16,108.5,,
1,Index Numbers,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2016-Q2,Jun-16,109,,
1,Index Numbers,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2016-Q3,Sep-16,109.7,,
1,Index Numbers,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2016-Q4,Dec-16,110.2,,
1,Index Numbers,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2017-Q1,Mar-17,110.5,,
1,Index Numbers,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2017-Q2,Jun-17,111,,
1,Index Numbers,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2017-Q3,Sep-17,111.4,,
1,Index Numbers,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2017-Q4,Dec-17,112.3,,
1,Index Numbers,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2018-Q1,Mar-18,112.4,,
1,Index Numbers,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2018-Q2,Jun-18,112.9,,
1,Index Numbers,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2018-Q3,Sep-18,113.4,,
1,Index Numbers,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2018-Q4,Dec-18,114,,
1,Index Numbers,3,Brisbane,10001,All groups CPI,10,Original,Q,Quarterly,2019-Q1,Mar-19,114.1,,
1,Index Numbers,4,Adelaide,10001,All groups CPI,10,Original,Q,Quarterly,2009-Q1,Mar-09,92.2,,
